List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],22047-49-0,"Octadecanoic acid, 2-ethylhexyl ester","Octadecanoic acid, 2-ethylhexyl ester",,
Green [Circle],124-07-2,Octanoic acid,Octanoic acid,,
Half Green [Circle],26402-26-6,"Octanoic acid, monoester with 1,2,3-propanetriol","Octanoic acid, monoester with 1,2,3-propanetriol",,
Green [Circle],764-71-6,"Octanoic acid, potassium salt","Octanoic acid, potassium salt (1:1)",,
Green [Circle],68815-55-4,"Octanoic acid, reaction products with 2-[(2-aminoethyl)amino]ethanol, acrylic acid alkylated (1:2), disodium salts","Octanoic acid, reaction products with 2-[(2-aminoethyl)amino]ethanol, acrylic acid alkylated (1:2), disodium salts",,
Green [Circle],29836-26-8,Octyl-beta-D-glucoside,"beta-D-Glucopyranoside, octyl",,"*As of June 2016, this substance is not listed on the TSCA inventory."
Green [Circle],2605-78-9,Octyldimethylamine oxide,"1-Octanamine, N,N-dimethyl-, N-oxide",,
Green [Circle],27593-14-2,Octyldimethylbetaine,"1-Octanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt",,
Green [Circle],112-80-1,Oleic acid,9-Octadecenoic acid (9Z)-,,
Green [Circle],143-19-1,"Oleic acid, sodium salt","9-Octadecenoic acid (9Z)-, sodium salt (1:1)",,
Half Green [Circle],166736-08-9,"Oxirane, 2-methyl-, polymer with oxirane, mono(2-propylheptyl) ether","Oxirane, 2-methyl-, polymer with oxirane, mono(2-propylheptyl) ether",,
Green [Circle],64366-70-7,"Oxirane, methyl-, polymer with oxirane, mono(2-ethylhexyl) ether","Oxirane, 2-methyl-, polymer with oxirane, mono(2-ethylhexyl) ether",,
Green [Circle],57-10-3,Palmitic acid,Hexadecanoic acid,,
Green [Circle],2091-29-4,Palmitoleic acid,9-Hexadecenoic acid,,
Green [Circle],9003-11-6,Poloxalene,"Oxirane, 2-methyl-, polymer with oxirane",,
